,year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
7,2010,Cow Hollow,569.38,372560,1239
31,2010,Miraloma Park,680.61,372560,1239
41,2010,Pacific Heights,496.52,372560,1239
46,2010,Potrero Hill,491.45,372560,1239
47,2010,Presidio Heights,549.42,372560,1239
49,2010,South Beach,1037.1,372560,1239
52,2010,Telegraph Hill,524.79,372560,1239
54,2010,Union Square District,569.19,372560,1239
67,2011,Cow Hollow,390.6,374507,1530
89,2011,Miraloma Park,414.68,374507,1530
100,2011,Pacific Heights,509.02,374507,1530
105,2011,Potrero Hill,503.14,374507,1530
106,2011,Presidio Heights,493.81,374507,1530
108,2011,South Beach,388.64,374507,1530
111,2011,Telegraph Hill,483.41,374507,1530
113,2011,Union Square District,302.12,374507,1530
126,2012,Cow Hollow,644.82,376454,2324
146,2012,Merced Heights,421.14,376454,2324
148,2012,Miraloma Park,756.19,376454,2324
160,2012,Pacific Heights,586.22,376454,2324
165,2012,Potrero Hill,466.65,376454,2324
166,2012,Presidio Heights,426.61,376454,2324
169,2012,Telegraph Hill,465.8,376454,2324
171,2012,Union Square District,445.2,376454,2324
184,2013,Cow Hollow,707.4,378401,2971
214,2013,Pacific Heights,503.9,378401,2971
219,2013,Potrero Hill,598.7,378401,2971
220,2013,Presidio Heights,512.84,378401,2971
224,2013,Telegraph Hill,653.31,378401,2971
226,2013,Union Square District,1290.47,378401,2971
240,2014,Cow Hollow,691.87,380348,3528
261,2014,Merced Heights,528.73,380348,3528
262,2014,Miraloma Park,1267.77,380348,3528
272,2014,Pacific Heights,824.66,380348,3528
277,2014,Potrero Hill,1045.2,380348,3528
278,2014,Presidio Heights,603.45,380348,3528
281,2014,South Beach,524.63,380348,3528
284,2014,Telegraph Hill,708.19,380348,3528
286,2014,Union Square District,558.27,380348,3528
291,2014,Westwood Park,742.98,380348,3528
301,2015,Cow Hollow,598.62,382295,3739
335,2015,Pacific Heights,910.19,382295,3739
339,2015,Potrero Hill,821.3,382295,3739
340,2015,Presidio Heights,,382295,3739
344,2015,Telegraph Hill,996.99,382295,3739
346,2015,Union Square District,2258.7,382295,3739
357,2016,Cow Hollow,1059.07,384242,4390
374,2016,Merced Heights,1416.67,384242,4390
384,2016,Pacific Heights,996.39,384242,4390
387,2016,Potrero Hill,707.65,384242,4390
388,2016,Presidio Heights,1465.97,384242,4390
392,2016,Telegraph Hill,903.05,384242,4390
396,2016,Westwood Park,631.2,384242,4390
